item_id	name	desc_id	plural	autosell	description	image_src
165	skewer	766374877		"40
"	todo: description	todo: image_src
166	ghuol ears	344168980	"pairs of ghuol ears
"	16	todo: description	todo: image_src
167	ghuol-ear kabob	265651141		"52
"	todo: description	todo: image_src
168	bone rattle	447997748		"23
"	todo: description	todo: image_src
169	bugbear beanie	777889593		"35
"	todo: description	todo: image_src
170	lihc eye	645882277		"19
"	todo: description	todo: image_src
171	lihc eye pie	226058747		"45
"	todo: description	todo: image_src
172	gnoll lips	665720781	"sets of gnoll lips
"	11	todo: description	todo: image_src
173	taco shell	335557202		"40
"	todo: description	todo: image_src
174	Gnollish casserole dish	605254179	"Gnollish casserole dishes
"	75	todo: description	todo: image_src
175	uncooked chorizo	514976861	"mounds of uncooked chorizo
"	18	todo: description	todo: image_src
176	disembodied brain	653117852		"19
"	todo: description	todo: image_src
177	brainy skull	629271368		"32
"	todo: description	todo: image_src
178	detective skull	508285829		"50
"	todo: description	todo: image_src
179	chorizo taco	962179987		"52
"	todo: description	todo: image_src
180	ice-cold fotie	804532270		"40
"	todo: description	todo: image_src
181	baseball	874161307		"11
"	todo: description	todo: image_src
182	batgut	322388148		"12
"	todo: description	todo: image_src
183	bat wing	613022151		"14
"	todo: description	todo: image_src
184	briefcase	446088053		"15
"	todo: description	todo: image_src
185	fat stacks of cash	637203605	"fat stacks of fat stacks of cash
"	150	todo: description	todo: image_src
186	enchanted bean	236089073		"25
"	todo: description	todo: image_src
187	loose teeth	534717073	"mouthfuls of loose teeth
"	17	todo: description	todo: image_src
188	bat guano	255139922		"12
"	todo: description	todo: image_src
189	guano coffee cup	720857924		"12
"	todo: description	todo: image_src
191	batskin belt	606865770		"0
"	todo: description	todo: image_src
192	old batskin belt	990969530		"0
"	todo: description	todo: image_src
193	birthday candle	525458096		"0
"	todo: description	todo: image_src
194	Mr. Accessory	373954459	"Mr. Accessories
"	0	todo: description	todo: image_src
195	eXtreme nose ring	872602834		"75
"	todo: description	todo: image_src
196	disassembled clover	328909735		"0
"	todo: description	todo: image_src
197	rat whisker	522248617		"0
"	todo: description	todo: image_src
198	rat appendix	692680387	"rat appendices
"	16	todo: description	todo: image_src
199	shiny ring	702786809		"75
"	todo: description	todo: image_src
200	rat appendix kabob	498411634		"51
"	todo: description	todo: image_src
201	bat wing kabob	124249163		"50
"	todo: description	todo: image_src
202	carob chunks	784215136	"piles of carob chunks
"	30	todo: description	todo: image_src
203	herbs	143428154	"shakers of herbs
"	32	todo: description	todo: image_src
204	carob chunk cookies	862605053	"handfuls of carob chunk cookies
"	52	todo: description	todo: image_src
205	secret blend of herbs and spices	319520721	"secret blends of herbs and spices
"	33	todo: description	todo: image_src
206	piercing post	837448484		"32
"	todo: description	todo: image_src
207	hippy herbal tea	720556110	"cups of hippy herbal tea
"	42	todo: description	todo: image_src
208	patchouli incense stick	961517296		"33
"	todo: description	todo: image_src
209	wad of tofu	531380515	"wads of tofu
"	35	todo: description	todo: image_src
210	Feng Shui for Big Dumb Idiots	569210925	"copies of Feng Shui for Big Dumb Idiots
"	33	todo: description	todo: image_src
211	decorative fountain	839388567		"34
"	todo: description	todo: image_src
212	windchimes	520934877	"sets of windchimes
"	32	todo: description	todo: image_src
213	filthy corduroys	404214724	"pairs of filthy corduroys
"	80	todo: description	todo: image_src
214	filthy knitted dread sack	447628016		"80
"	todo: description	todo: image_src
215	Uncle Jick's Brownie Mix	699264729	"boxes of Uncle Jick's Brownie Mix
"	33	todo: description	todo: image_src
216	carob brownies	780486353	"piles of carob brownies
"	60	todo: description	todo: image_src
217	herb brownies	589253744	"piles of herb brownies
"	61	todo: description	todo: image_src
218	hemp string	719626655		"75
"	todo: description	todo: image_src
219	necklace chain	662335573		"35
"	todo: description	todo: image_src
220	gnoll teeth	434518378	"mouthfuls of gnoll teeth
"	12	todo: description	todo: image_src
221	gnoll-tooth necklace	342269163		"85
"	todo: description	todo: image_src
222	phat turquoise bead	579443796		"31
"	todo: description	todo: image_src
223	phat turquoise bracelet	415315582		"75
"	todo: description	todo: image_src
224	eyepatch	732809077	"eyepatches
"	30	todo: description	todo: image_src
225	tofu casserole	371714248		"107
"	todo: description	todo: image_src
226	can of Red Minotaur	249694089	"cans of Red Minotaur
"	337	todo: description	todo: image_src
227	Kentucky-fried meat sword	535784149		"75
"	todo: description	todo: image_src
228	Kentucky-fried meat staff	140378723	"Kentucky-fried meat staves
"	75	todo: description	todo: image_src
229	Kentucky-fried meat crossbow	115544265		"75
"	todo: description	todo: image_src
230	dead guy's watch	678672280	"dead guys' watches
"	60	todo: description	todo: image_src
231	Doc Galaktik's Pungent Unguent	555651223	"tins of Doc Galaktik's Pungent Unguent
"	15	todo: description	todo: image_src
232	Doc Galaktik's Ailment Ointment	420199984	"tins of Doc Galaktik's Ailment Ointment
"	20	todo: description	todo: image_src
233	Doc Galaktik's Restorative Balm	504849907	"tins of Doc Galaktik's Restorative Balm
"	25	todo: description	todo: image_src
234	Doc Galaktik's Homeopathic Elixir	492143729	"bottles of Doc Galaktik's Homeopathic Elixir
"	30	todo: description	todo: image_src
235	Bigger Bugfinder Blade	198004428		"0
"	todo: description	todo: image_src
236	Queue Du Coq cocktailcrafting kit	472946483		"250
"	todo: description	todo: image_src
237	bottle of gin	693995227	"bottles of gin
"	35	todo: description	todo: image_src
238	bottle of vodka	403270950	"bottles of vodka
"	35	todo: description	todo: image_src
239	Orcish baseball cap	507012744		"80
"	todo: description	todo: image_src
240	Orcish cargo shorts	802888217	"pairs of Orcish cargo shorts
"	80	todo: description	todo: image_src
241	homoerotic frat-paddle	694527990		"90
"	todo: description	todo: image_src
242	orange	483194968		"35
"	todo: description	todo: image_src
243	grapefruit	872946900		"35
"	todo: description	todo: image_src
244	grapes	744725007	"bunches of grapes
"	35	todo: description	todo: image_src
245	olive	118535128		"35
"	todo: description	todo: image_src
246	tomato	328398002	"tomatoes
"	35	todo: description	todo: image_src
247	fermenting powder	291067828	"bags of fermenting powder
"	35	todo: description	todo: image_src
248	salty dog	931351788		"65
"	todo: description	todo: image_src
249	bloody mary	315517860	"bloodies mary
"	65	todo: description	todo: image_src
250	screwdriver	643226474		"65
"	todo: description	todo: image_src
251	martini	433591253		"65
"	todo: description	todo: image_src
252	bloody beer	270292632		"60
"	todo: description	todo: image_src
253	shot of orange schnapps	451965938	"shots of orange schnapps
"	35	todo: description	todo: image_src
254	shot of grapefruit schnapps	520094760	"shots of grapefruit schnapps
"	35	todo: description	todo: image_src
255	fine wine	289750888	"bottles of fine wine
"	64	todo: description	todo: image_src
256	shot of tomato schnapps	345621185	"shots of tomato schnapps
"	35	todo: description	todo: image_src
257	extra-spicy bloody mary	313835263	"extra-spicy bloodies mary
"	66	todo: description	todo: image_src
258	dense meat stack	964766953		"1000
"	todo: description	todo: image_src
259	white snake skin	830631869		"25
"	todo: description	todo: image_src
260	White Citadel fries	298165957	"orders of White Citadel fries
"	40	todo: description	todo: image_src
261	White Citadel burger	465306570		"50
"	todo: description	todo: image_src
262	piece of wedding cake	537891622	"pieces of wedding cake
"	12	todo: description	todo: image_src
263	white chocolate chips	933880844	"handfuls of white chocolate chips
"	24	todo: description	todo: image_src
264	white chocolate chip cookies	258842037	"stacks of white chocolate chip cookies
"	44	todo: description	todo: image_src
265	white satin pants	984448757	"pairs of white satin pants
"	45	todo: description	todo: image_src
266	white lightning	508523002	"jars of white lightning
"	15	todo: description	todo: image_src
267	mullet wig	260366136		"45
"	todo: description	todo: image_src
268	meat cowboy hat	958357633		"150
"	todo: description	todo: image_src
269	white sword	150921200		"45
"	todo: description	todo: image_src
270	white picket fence	483845177		"15
"	todo: description	todo: image_src
271	enchanted barbell	437207139		"125
"	todo: description	todo: image_src
272	concentrated magicalness pill	808329045		"125
"	todo: description	todo: image_src
273	giant moxie weed	332180626		"125
"	todo: description	todo: image_src
274	Familiar-Gro&trade; Terrarium	369846540		"250
"	todo: description	todo: image_src
275	mosquito larva	187601582		"0
"	todo: description	todo: image_src
276	leprechaun hatchling	957862893		"6
"	todo: description	todo: image_src
277	extra-strength strongness elixir	567949941		"150
"	todo: description	todo: image_src
278	jug-o-magicalness	845914991	"jugs-o-magicalness
"	150	todo: description	todo: image_src
279	suntan lotion of moxiousness	220707790	"suntan lotions of moxiousness
"	150	todo: description	todo: image_src
280	Pick-O-Matic lockpicks	920494634	"sets of Pick-O-Matic lockpicks
"	50	todo: description	todo: image_src
281	gasmask	992191060		"0
"	todo: description	todo: image_src
282	Boris's key	893993624		"0
"	todo: description	todo: image_src
283	Jarlsberg's key	127501978		"0
"	todo: description	todo: image_src
284	Sneaky Pete's key	878803045		"0
"	todo: description	todo: image_src
285	walrus-tusk earring	751882754		"30
"	todo: description	todo: image_src
286	ring of half-assed regeneration	898883905	"rings of half-assed regeneration
"	30	todo: description	todo: image_src
287	Boris's ring	184574890		"50
"	todo: description	todo: image_src
288	potato sprout	971320958		"17
"	todo: description	todo: image_src
289	Jarlsberg's earring	907293022		"50
"	todo: description	todo: image_src
290	Sneaky Pete's breath spray	734226282	"cans of Sneaky Pete's breath spray
"	50	todo: description	todo: image_src
291	can of maces	715613470	"cans of maces
"	55	todo: description	todo: image_src
292	rubber axe	953637829		"45
"	todo: description	todo: image_src
293	chef's hat	547395764		"35
"	todo: description	todo: image_src
294	pail	556027366		"35
"	todo: description	todo: image_src
295	demonskin trousers	575092507	"pairs of demonskin trousers
"	75	todo: description	todo: image_src
296	dungeoneer's dungarees	683547457	"pairs of dungeoneer's dungarees
"	35	todo: description	todo: image_src
297	tamarind-flavored chewing gum	955502325	"pieces of tamarind-flavored chewing gum
"	20	todo: description	todo: image_src
298	lime-and-chile-flavored chewing gum	278245380	"pieces of lime-and-chile-flavored chewing gum
"	20	todo: description	todo: image_src
299	pickle-flavored chewing gum	238820559	"pieces of pickle-flavored chewing gum
"	20	todo: description	todo: image_src
300	jaba&ntilde;ero-flavored chewing gum	653201781	"pieces of jaba&ntilde;ero-flavored chewing gum
"	20	todo: description	todo: image_src
301	flat dough	420577615		"25
"	todo: description	todo: image_src
302	Knob sausage	517250862		"17
"	todo: description	todo: image_src
303	Knob mushroom	561848329		"16
"	todo: description	todo: image_src
304	dry noodles	855158494	"bunches of dry noodles
"	1	todo: description	todo: image_src
305	Knob Goblin harem pants	382950400	"pairs of Knob Goblin harem pants
"	27	todo: description	todo: image_src
306	Knob Goblin harem veil	775258484		"28
"	todo: description	todo: image_src
307	Knob Goblin perfume	310524159		"27
"	todo: description	todo: image_src
308	Knob Goblin elite helm	316384894		"65
"	todo: description	todo: image_src
309	Knob Goblin elite pants	378095502	"pairs of Knob Goblin elite pants
"	65	todo: description	todo: image_src
310	Knob Goblin elite polearm	239886636		"65
"	todo: description	todo: image_src
311	hill of beans	644089348	"hills of beans
"	23	todo: description	todo: image_src
312	Knob Goblin visor	545354650		"80
"	todo: description	todo: image_src
313	Crown of the Goblin King	793902065	"Crowns of the Goblin King
"	110	todo: description	todo: image_src
314	bean burrito	681519618		"54
"	todo: description	todo: image_src
315	spicy bean burrito	720728989		"55
"	todo: description	todo: image_src
316	insanely spicy bean burrito	961633058		"150
"	todo: description	todo: image_src
317	enchanted bean burrito	588058950		"54
"	todo: description	todo: image_src
318	spicy enchanted bean burrito	759065032		"55
"	todo: description	todo: image_src
319	insanely spicy enchanted bean burrito	530301658		"152
"	todo: description	todo: image_src
320	bat haggis	934412894	"bat haggises
"	106	todo: description	todo: image_src
321	menudo	149412351	"bowls of menudo
"	43	todo: description	todo: image_src
322	goat cheese	706554118	"wedges of goat cheese
"	22	todo: description	todo: image_src
323	plain pizza	709742161		"68
"	todo: description	todo: image_src
324	sausage pizza	899272477		"85
"	todo: description	todo: image_src
325	goat cheese pizza	260824801		"84
"	todo: description	todo: image_src
326	mushroom pizza	824703540		"86
"	todo: description	todo: image_src
327	goat	446235881		"47
"	todo: description	todo: image_src
328	bottle of whiskey	789501042	"bottles of whiskey
"	35	todo: description	todo: image_src
329	goat beard	732846764		"65
"	todo: description	todo: image_src
330	glass of goat's milk	895482437	"glasses of goat's milk
"	23	todo: description	todo: image_src
331	white Canadian	146739596		"53
"	todo: description	todo: image_src
332	lemon	286050768		"35
"	todo: description	todo: image_src
333	lime	839503923		"60
"	todo: description	todo: image_src
334	sabre teeth	308344955	"sets of sabre teeth
"	65	todo: description	todo: image_src
335	sabre-toothed lime cub	875749189		"91
"	todo: description	todo: image_src
336	consolation ribbon	447554129		"0
"	todo: description	todo: image_src
337	big ol' trophy	575900836	"big ol' trophies
"	0	todo: description	todo: image_src
338	tenderizing hammer	814957844		"250
"	todo: description	todo: image_src
339	Cobb's Knob lab key	929970195		"0
"	todo: description	todo: image_src
340	Knob Goblin steroids	195322551	"syringes of Knob Goblin steroids
"	125	todo: description	todo: image_src
341	Knob Goblin love potion	354133589		"85
"	todo: description	todo: image_src
342	Knob Goblin stink bomb	520398213		"65
"	todo: description	todo: image_src
343	Knob Goblin sharpening spray	539033863		"115
"	todo: description	todo: image_src
344	Knob Goblin seltzer	861990863		"44
"	todo: description	todo: image_src
345	Knob Goblin superseltzer	619512514		"49
"	todo: description	todo: image_src
346	scrumptious reagent	632079051		"1
"	todo: description	todo: image_src
347	Dyspepsi-Cola	334260930	"cans of Dyspepsi-Cola
"	52	todo: description	todo: image_src
348	cold ninja mask	304413527		"90
"	todo: description	todo: image_src
349	icy katana hilt	127995941		"64
"	todo: description	todo: image_src
350	hot katana blade	239092439		"35
"	todo: description	todo: image_src
351	icy-hot katana	211176247		"105
"	todo: description	todo: image_src
352	ninja hot pants	825395282	"pairs of ninja hot pants
"	75	todo: description	todo: image_src
353	frigid ninja stars	767479170	"handfuls of frigid ninja stars
"	67	todo: description	todo: image_src
354	frozen nunchaku	556965631	"frozen nunchaku
"	90	todo: description	todo: image_src
355	eXtreme scarf	567621068	"eXtreme scarves
"	110	todo: description	todo: image_src
356	snowboarder pants	496844589	"pairs of snowboarder pants
"	110	todo: description	todo: image_src
357	Mountain Stream soda	560199283	"cans of Mountain Stream soda
"	58	todo: description	todo: image_src
358	gr8ps	124694008	"bunch3s of gr8ps
"	59	todo: description	todo: image_src
359	t8r tots	722017123	"h4ndful5 of t8r tots
"	58	todo: description	todo: image_src
360	miner's helmet	825600819		"90
"	todo: description	todo: image_src
361	miner's pants	984857229	"pairs of miner's pants
"	90	todo: description	todo: image_src
362	7-Foot Dwarven mattock	979636979	"7-Foot Dwarven maddox
"	90	todo: description	todo: image_src
363	linoleum ore	122957072	"chunks of linoleum ore
"	50	todo: description	todo: image_src
364	asbestos ore	873673118	"chunks of asbestos ore
"	50	todo: description	todo: image_src
365	chrome ore	742497802	"chunks of chrome ore
"	50	todo: description	todo: image_src
366	linoleum sword hilt	216588286		"0
"	todo: description	todo: image_src
367	linoleum stick	352682215		"0
"	todo: description	todo: image_src
368	linoleum crossbow string	129537220		"0
"	todo: description	todo: image_src
369	asbestos sword hilt	499995791		"0
"	todo: description	todo: image_src
370	asbestos stick	153682830		"0
"	todo: description	todo: image_src
371	asbestos crossbow string	983432397		"0
"	todo: description	todo: image_src
372	chrome sword hilt	869589567		"0
"	todo: description	todo: image_src
373	chrome stick	424084004		"0
"	todo: description	todo: image_src
374	chrome crossbow string	328326637		"0
"	todo: description	todo: image_src
375	linoleum meat stack	314903773		"100
"	todo: description	todo: image_src
376	asbestos meat stack	982075866		"100
"	todo: description	todo: image_src
377	chrome meat stack	137403755		"100
"	todo: description	todo: image_src
378	linoleum sword	934001263		"115
"	todo: description	todo: image_src
379	linoleum staff	166398828	"linoleum staves
"	125	todo: description	todo: image_src
380	linoleum crossbow	341434108		"105
"	todo: description	todo: image_src
381	asbestos sword	529280790		"125
"	todo: description	todo: image_src
382	asbestos staff	185789106	"asbestos staves
"	105	todo: description	todo: image_src
383	asbestos crossbow	377418543		"115
"	todo: description	todo: image_src
384	chrome sword	834797074		"105
"	todo: description	todo: image_src
385	chrome staff	637033474	"chrome staves
"	115	todo: description	todo: image_src
386	chrome crossbow	152287571		"125
"	todo: description	todo: image_src
387	fuzzy dice	832984520	"pairs of fuzzy dice
"	0	todo: description	todo: image_src
388	yeti fur	696768936		"92
"	todo: description	todo: image_src
389	meaty helmet turtle	915680566		"100
"	todo: description	todo: image_src
390	asbestos helmet turtle	395437933		"101
"	todo: description	todo: image_src
391	linoleum helmet turtle	784442398		"101
"	todo: description	todo: image_src
392	chrome helmet turtle	862749339		"101
"	todo: description	todo: image_src
393	penguin skin	933950979		"97
"	todo: description	todo: image_src
394	yak skin	851749276		"95
"	todo: description	todo: image_src
395	hippopotamus skin	490634550		"98
"	todo: description	todo: image_src
396	penguin shorts	247576562	"pairs of penguin shorts
"	140	todo: description	todo: image_src
